CNA,CVE,Date,Version,Tool
Joomla,CVE-2026-21628,2026-03-05,0.1.0-dev,Vulnogram 0.1.0-dev
SolarWinds,CVE-2025-40539,2026-02-24,0.1.0-dev,Vulnogram 0.1.0-dev
CERTVDE,CVE-2025-41711,2026-03-10,0.1.0-dev,Vulnogram 0.1.0-dev
suse,CVE-2026-25702,2026-03-05,0.1.0-dev,Vulnogram 0.1.0-dev
3DS,CVE-2026-2101,2026-02-16,0.1.0-dev,Vulnogram 0.1.0-dev
juniper,CVE-2026-21902,2026-02-25,0.1.0-dev,Vulnogram 0.1.0-dev
palo_alto,CVE-2026-0230,2026-03-11,0.1.0-dev,Vulnogram 0.1.0-dev
BLSOPS,CVE-2026-2103,2026-02-06,0.1.0-dev,Vulnogram 0.1.0-dev
Esri,CVE-2026-1446,2026-01-26,0.1.0-dev,Vulnogram 0.1.0-dev
HW,CVE-2026-24732,2026-03-04,0.1.0-dev,Vulnogram 0.1.0-dev
qnap,CVE-2025-59388,2026-03-12,0.1.0-dev,Vulnogram 0.1.0-dev
zephyr,CVE-2026-1678,2026-03-05,0.1.0-dev,Vulnogram 0.1.0-dev
Mitsubishi,CVE-2025-2399,2026-03-10,0.1.0-dev,Vulnogram 0.1.0-dev
WatchGuard,CVE-2026-3342,2026-03-03,0.2.0,Vulnogram 0.2.0
arcinfo,CVE-2026-1698,2026-02-26,0.2.0,Vulnogram 0.2.0
Canon,CVE-2026-1585,2026-02-26,0.2.0,Vulnogram 0.2.0
netapp,CVE-2026-22052,2026-03-04,0.2.0,Vulnogram 0.2.0
Docker,CVE-2025-15558,2026-03-04,0.2.0,Vulnogram 0.2.0
ProgressSoftware,CVE-2026-2513,2026-03-12,0.2.0,Vulnogram 0.2.0
Document Fdn.,CVE-2025-14714,2025-12-15,0.2.0,Vulnogram 0.2.0
Pega,CVE-2025-62183,2026-02-17,0.2.0,Vulnogram 0.2.0
CPANSec,CVE-2025-40905,2026-02-12,0.2.0,Vulnogram 0.2.0
openssl,CVE-2025-15468,2026-01-27,0.2.0,Vulnogram 0.2.0
TYPO3,CVE-2026-0895,2026-01-20,0.2.0,Vulnogram 0.2.0
Sonatype,CVE-2026-0601,2026-01-14,0.2.0,Vulnogram 0.2.0
php,CVE-2025-14180,2025-12-27,0.2.0,Vulnogram 0.2.0
WSO2,CVE-2024-1524,2026-02-24,0.2.0,Vulnogram 0.2.0
Pentraze,CVE-2025-4960,2026-02-19,0.2.0,Vulnogram 0.2.0
DIVD,CVE-2025-36753,2025-12-13,0.2.0,Vulnogram 0.2.0
imaginationtech,CVE-2026-21736,2026-03-09,0.2.0,Vulnogram 0.2.0
hpe,CVE-2026-23814,2026-03-11,0.2.0,Vulnogram 0.2.0
forcepoint,CVE-2025-12690,2026-03-11,0.2.0,Vulnogram 0.2.0
CERT-PL,CVE-2026-0809,2026-03-12,0.2.0,Vulnogram 0.2.0
